N,log_2(N),Sorted,Balanced,Scrambled #0,Scrambled #1,Scrambled #2,Scrambled #3,Scrambled #4
0,-inf-1,-1,-1,-1-1,-1,-1
1,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1
3,1.58496,2,1,2,1,2,2,1
4,2,3,2,3,2,3,2,2
5,2.32193,4,2,4,2,4,3,2
6,2.58496,5,2,5,2,5,3,2
7,2.80735,6,2,5,3,5,3,3
8,3,7,3,5,3,6,3,4
9,3.16993,8,3,5,4,6,3,5
10,3.32193,9,3,5,4,6,4,5
11,3.45943,10,3,5,4,6,5,6
12,3.58496,11,3,5,4,6,5,6
13,3.70044,12,3,5,4,6,5,6
14,3.80735,13,3,5,4,7,5,6
15,3.90689,14,3,6,4,7,6,6
16,4,15,4,6,4,7,6,6
17,4.08746,16,4,7,4,7,7,6
18,4.16993,17,4,7,5,7,7,6
19,4.24793,18,4,7,5,7,8,6
20,4.32193,19,4,7,5,7,8,6
21,4.39232,20,4,7,5,8,8,6
22,4.45943,21,4,7,5,8,8,6
23,4.52356,22,4,7,5,8,8,6
24,4.58496,23,4,7,5,8,8,6
25,4.64386,24,4,7,5,8,9,7
26,4.70044,25,4,7,5,8,9,7
27,4.75489,26,4,7,6,9,9,7
28,4.80735,27,4,7,6,9,9,7
29,4.85798,28,4,7,6,9,9,7
30,4.90689,29,4,7,6,9,9,7
31,4.9542,30,4,7,6,9,9,7
32,5,31,5,7,6,9,9,7
33,5.04439,32,5,7,6,9,9,8
34,5.08746,33,5,7,7,9,9,9
35,5.12928,34,5,8,7,9,9,9
36,5.16993,35,5,8,7,9,10,9
37,5.20945,36,5,8,8,9,10,9
38,5.24793,37,5,8,8,9,10,9
39,5.2854,38,5,8,8,10,11,9
40,5.32193,39,5,8,8,10,11,9
41,5.35755,40,5,8,8,10,11,9
42,5.39232,41,5,8,8,10,12,9
43,5.42626,42,5,8,8,10,12,9
44,5.45943,43,5,8,8,10,12,9
45,5.49185,44,5,8,8,10,12,9
46,5.52356,45,5,8,8,10,12,9
47,5.55459,46,5,8,8,10,12,9
48,5.58496,47,5,8,8,10,12,10
49,5.61471,48,5,8,8,10,12,10
50,5.64386,49,5,8,8,10,12,10
51,5.67243,50,5,8,8,10,12,10
52,5.70044,51,5,8,8,10,12,10
53,5.72792,52,5,8,8,10,12,10
54,5.75489,53,5,8,8,11,12,10
55,5.78136,54,5,8,8,11,12,10
56,5.80735,55,5,8,9,11,12,10
57,5.83289,56,5,8,9,11,12,10
58,5.85798,57,5,8,9,11,12,10
59,5.88264,58,5,8,9,11,12,10
60,5.90689,59,5,8,9,11,12,11
61,5.93074,60,5,8,9,11,12,11
62,5.9542,61,5,8,9,11,12,11
63,5.97728,62,5,8,9,11,12,11
64,6,63,6,9,9,11,12,11
65,6.02237,64,6,9,9,11,12,11
66,6.04439,65,6,9,9,11,12,11
67,6.06609,66,6,9,9,11,12,11
68,6.08746,67,6,9,9,11,12,11
69,6.10852,68,6,9,9,11,12,11
70,6.12928,69,6,9,9,11,13,11
71,6.14975,70,6,9,9,11,13,11
72,6.16993,71,6,9,9,11,13,11
73,6.18982,72,6,9,9,11,14,11
74,6.20945,73,6,9,9,12,14,11
75,6.22882,74,6,9,10,12,14,11
76,6.24793,75,6,9,10,12,14,11
77,6.26679,76,6,9,10,12,14,11
78,6.2854,77,6,9,10,12,14,11
79,6.30378,78,6,9,10,12,14,11
80,6.32193,79,6,9,10,12,14,11
81,6.33985,80,6,9,10,12,14,11
82,6.35755,81,6,9,10,12,14,11
83,6.37504,82,6,9,10,12,14,11
84,6.39232,83,6,9,10,12,14,11
85,6.40939,84,6,9,10,12,14,11
86,6.42626,85,6,10,10,12,14,11
87,6.44294,86,6,10,10,12,14,11
88,6.45943,87,6,10,10,12,14,11
89,6.47573,88,6,10,10,12,14,11
90,6.49185,89,6,10,10,12,14,11
91,6.50779,90,6,10,10,12,14,11
92,6.52356,91,6,10,10,13,14,11
93,6.53916,92,6,10,10,13,14,11
94,6.55459,93,6,10,10,13,14,11
95,6.56986,94,6,10,10,13,14,11
96,6.58496,95,6,10,10,13,14,11
97,6.59991,96,6,10,10,13,14,11
98,6.61471,97,6,10,10,13,14,11
99,6.62936,98,6,10,10,13,14,11
100,6.64386,99,6,10,10,13,14,11
101,6.65821,100,6,10,10,13,15,11
102,6.67243,101,6,10,11,13,15,11
103,6.6865,102,6,10,11,13,15,11
104,6.70044,103,6,10,11,13,15,11
105,6.71425,104,6,10,11,13,15,11
106,6.72792,105,6,10,11,13,15,11
107,6.74147,106,6,10,11,13,15,11
108,6.75489,107,6,10,11,13,15,11
